nombre_materia,codigo_materia,creditos_teoricos,creditos_practicos
CONTROLES INDUSTRIALES ELÉCTRICOS,FIEC00273,4,0
CONTROL ESTADÍSTICO DE LA CALIDAD,FIMP07757,3,1
CONTROL ESTADÍSTICO Y CALIDAD TOTAL,ICHE02733,3,0
CONTROL PROGRAMABLE,PRTEL01859,0,4
CONTROL RUIDO,FIMP06460,3,0
CONTROL Y ADM. DE PÉRDIDAS (IAPI),FIMP07112,3,0
COOPERACIÓN PARA EL DESARROLLO,FMAR05074,4,0
COREANO INICIAL I,CELEX00299,3,0
CORREO ELECTRON.Y COMUNC.(TJ),PRTCO01925,0,4
CORRIENTE ALTERNA (1998),PRTEL00505,4,4
CORRIENTE CONTINUA(1998),PRTEL00471,4,3
CORROSION,FIMP02501,2,1
CORROSION PROTECCION(INR),FMAR03269,3,0
COSTEO POR PROCESOS,ICHE03574,4,0
COSTOS Y PLANEAM.PRODUCC.,FIMP06296,4,0
CREATIVIDAD Y PENSAMIENTO LATERAL,ICHE04358,4,0
Crecimiento Económico,ICHE002154,0,0
CRECIMIENTO Y DESARROLLOO ECONÓMICO,ICHE03921,3,0
CTROL.CALID.MATERIAL.EMPAQ.Y EMBALAJE (IAL),FIMP08193,3,0
CUENTAS NACIONALES,ICHE01495,3,0
CULT.CICLO CORTO POSTCOS.,FIMP01081,0,3
CULTIVO DE PLANCTON,FMAR02519,3,1
Cultivo de Tejidos Vegetales Aplicados,FIMCP002725,0,0
CULTIVO DE TEJIDOS Y PROPAGAC DE PLANTAS,FIMP07682,3,0
CULTIVO DE TEJIDOS Y PROPAGACIÓN DE PLANTAS I,FIMP08367,3,0
CULTIVOS DE CICLO CORTO,FIMP08656,0,4
CULTIVOS DE ESPECIES NO TRADICIONALES,FMAR01933,3,1
CULTIVOS TROPICALES II (IP),FIMP04648,1,3
CULTIVOS TROPICALES II (IP),FIMP04648L,0,3
CULTIVOS TROPICALES I (IP),FIMP04606,1,3
CULTIVOS TROPIC. III (IP),FIMP04747,3,2
CULT.TROP.PEREN.SILVICULT.,FIMP01099,0,2
Curso Propedeutico,FIMCM000943,0,0
DANZA,ICHE03707,3,0
DANZA FOLKLÓRICA,FMAR04127,1,2
DATA SERVER,EDCOM00240,1,3
Datos y tecnologías de acceso,EDCOM000935,0,0
DECISIONES MULTICRITERIO(IAPI),FIMP05843,3,0
DELITOS INFORMÁTICOS,FIEC002014,0,0
DEMOGRAFÍA (ELECTV.PROFES.I) ING.ESTADIS,ICM01743,4,0
DEPORTE RECREATIVO: AJEDREZ,ESPOL00083,0,1
DEPORTE RECREATIVO: BALONCESTO,ESPOL00026,0,1
DEPORTE RECREATIVO: ENTRENAMIENTOS DE FUERZA,ESPOL00091,0,1
DEPORTE RECREATIVO: FÚTBOL,ESPOL00018,0,1
DEPORTE RECREATIVO: KAYAK,ESPOL00117,0,1
DEPORTE RECREATIVO: NATACIÓN,ESPOL00109,0,1
DEPORTE RECREATIVO: PING PONG,ESPOL00042,0,1
DEPORTE RECREATIVO: TENIS,ESPOL00059,0,1
DEPORTE RECREATIVO: TRIATLÓN,ESPOL00125,0,1
DEPORTE RECREATIVO: VOLEIBOL,ESPOL00034,0,1
DEPÓSITOS MINERALES,FICT03822,2,3
DEPOSITOS MINERALES I,FICT00539,4,0
DEPOSITOS MINERALES II,FICT00604,4,0
DERECHO,ICHE03699,4,0
DERECHO DE LA INFORMACIÓN,EDCOM01453,4,0
DERECHO EN SEGUROS,ICM02030,4,0
DERECHO I,ICHE01404,3,0
DERECHO II,ICHE01446,3,0
DERECHO MERCANTIL Y LABORAL (AUDIT.),ICM01636,3,0
DERECHO TRIBUTARIO,ICM02865,4,0
DESAR.ECON.SOSTEN.,ICHE01875,3,0
DESARROLLO APLICAC.COMPUTACIONALES,ICM01297,4,0
DESARROLLO DE APLICACIONES DE TELECOMUNICACIONES,FIEC000877,0,0
DESARROLLO DE APLICACIONES WEB,FIEC05884,5,0
DESARROLLO DE APLICACIONES WEB,FIEC001859,0,0
DESARROLLO DE CASOS PRÁCTICOS BÁSICOS,ICHE04598,3,0
DESARROLLO DE HABILIDADES GERENCIALES,ESPAE003210,0,0
DESARROLLO DE HABILIDADES GERENCIALES I,ESPAE004457,0,0
DESARROLLO DE JUEGOS DE VIDEO,FIEC05470,4,0
DESARROLLO DEL ESPÃRITU EMPRENDEDOR,ESPAE004465,0,0
DESARROLLO DEL ESPÍRITU EMPRENDEDOR,ESPAE003061,0,0
DESARROLLO DE PROYECTO DE GRADUACIÓN,ICM02931,4,0
DESARROLLO ECONÓMICO,ICHE001552,0,0
DESARROLLO MARÍTIMO DEL ECUADOR(INR),FMAR03293,4,0
DESARROLLO ORGANIZACIONAL,ICM02048,4,0
DESARROLLO PROC.RECEPTVS.(TJ),PRTCO01974,0,0
DESARROLLO PROFESIONAL BÁSICO,ICHE04390,3,0
DESARROLLO SOCIAL Y VOLUNTARIADO,ICHE04119,3,0
DESARROLLO SUSTENTABLE,ESPAE003038,0,0
DESARROLLO SUSTENT. Y REG. DEL TURISMO,FMAR04317,4,0
DESARROLLO Y BUEN VIVIR-EL SUMAK KAWSAY,ICHE04945,2,0
DESHIDRATACION Y SECADO DE ALIMENTOS,FIMP07187,3,0
DETECCIÓN DE FRAUDES EN SEGUROS,ICM02063,4,0
DIAGRAMAS ELÉCTRICOS,PRTME01024,2,0
DIAGRAMAS ELÉCTRICOS,PRTME01024L,0,2
DIBUJO ARTÍSTICO,EDCOM00315,0,6
DIBUJO ARTÍSTICO,PRTCO02154,1,3
DIBUJO ASISTIDO POR COMPUTADORA,FIMP06775,1,3
DIBUJO DE CALDERERÍA,PRTME01271L,0,2
DIBUJO DE CALDERERÍA,PRTME01271,2,0
DIBUJO DE INSTALACIONES INDUSTRIALES,PRTME01305,4,0
DIBUJO ELECTRICO,PRTEL00323,1,4
DIBUJO EN COMPUTADORA,PRTEL01743,0,4
DIBUJO MECAN.I,PRTME00737,2,4
DIBUJO MECÁNICO,FIMP02717,2,2
DIBUJO MECÁNICO (2005),PRTME01156,2,0
DIBUJO MECÁNICO DIGITALIZADO,PRTME01198,0,4
DIBUJO MECAN.II,PRTME00760,2,4
DIBUJO TECNICO,PRTME00711,0,0
DIBUJO TÉCNICO Y PLANOS,FICT03210,2,3
DIBUJO Y MATERIALES ELÉCTRICOS,PRTEL01628,2,0
DIBUJO Y TOPOGRAFIA,FIMP00364,2,3
DIBUJO Y TOPOGRAFIA APLIC.,FIMP00950,2,3
DIETOTERAPIA I,PRTAL01198,5,0
DIETOTERAPIA II,PRTAL01230,5,0
DIGITALES,PRTEL00554,4,3
DIGITALES Y MICROCOMPUTAD.(SIST.MOD.TELE,PRTEL01057,3,3
DINÁMICA (B),FIMP01271,4,0
Dinámica de Fluidos Computacional,FIMCP002360,0,0
DINÁMICA DE FLUIDOS COMPUTACIONAL,FIMP08441,2,1
DINAMICA DE GASES,FIMP02261,3,0
DINAMICA DEL BUQUE,FMAR00927,3,0
DIRECC.ESTRATÉG.MARKETING,ICHE02840,3,0
DIRECC.ESTRATÉG.Y PRODUCTIVIDAD,ICHE02956,3,0
DirecciÃ³n de Empresas,FCNM000299,0,0
DIRECCIONAMIENTO AVANZADO,FIEC06171,4,0
DIRECCIÓN DE EQUIPOS DE PROYECTOS,ESPAE003020,0,0
DIRECCIÓN DE PROYECTOS,PRTCO02857,4,0
DIRECCIÓN ESCÉNICA,PRTCO02642,0,4
DIRECCIÓN ESTRATÉGICA,ICHE03673,3,0
DIRECCION ESTRATEGICA Y CAMBIO ORGANIZACIONAL,ICHE000851,0,0
DiseÃ±o EstratÃ©gico,EDCOM001388,0,0
DiseÃ±o y Desarrollo de Webs para Dispositivos,EDCOM000992,0,0
DISEÑANDO INFRAEST.RED ACTIVE DIRECTORY,FIEC06270,1,2
DISEÑO 2D/3D (SIST.MOD.DIS.GRÁF.),PRTCO02378,3,0
DISENO BASES DATOS(TF),PRTCO01768,4,0
DISEÑO BÁSICO (ING. ALIM.),FIMP07070,2,3
DISEÑO CONTEMPORÁNEO,EDCOM00075,6,0
Diseño Curricular en la Enseñanza de la Lengua Ing,ICHE001404,0,0
DISEÑO DE BUQUES I,FMAR04754,4,0
DISEÑO DE BUQUES II,FMAR04762,4,0
DISEÑO DE CABLEADO ESTRUCTURADO,PRTEL02097L,0,2
DISEÑO DE CABLEADO ESTRUCTURADO,PRTEL02097,2,0
DISEÑO DE CENTROS DE PROCESAMIENTO DE DATOS,FIEC06965,4,0
Diseño de experimentos,FIMCP002352,0,0
Diseño de experimentos,FIMCP002642,0,0
DISEÑO DE EXPERIMENTOS (IAPI),FIMP06502,3,0
DISEÑO DE EXPERIMENTOS(ICM 2005),ICM02337,4,0
DISEÑO DE HERRAMIENTAS,PRTME01297L,0,2
DISEÑO DE HERRAMIENTAS,PRTME01297,2,2
DISEÑO DE INGENIERÍA COSTERA,FMAR02220,4,0
DISEÑO DE MINAS,FICT02824,4,1
DISEÑO DE PACKAGING,EDCOM00091,6,0
DISEÑO DE PLANTAS,FICT02832,4,0
DISEÑO DE PLANTAS,FIMP04549,3,1
DISEÑO DE REDES,FIEC06163,4,0
DISEÑO DE SISTEMAS (2005/3),PRTCO03459,4,0
DISEÑO DE SISTEMAS CONTABLES,ICM02071,4,0
DISEÑO DE SISTEMAS CONTROLADOS POR COMPUTADOR,FIEC06429,0,3
DISEÑO DE SISTEMAS ELÉCTRICOS BASADO EN COMPUTADORA,FIEC05926,4,0
DISEÑO DE SITIOS WEB,PRTCO02931,1,3
DISEÑO DE SONIDO,PRTCO02543,0,6
DISEÑO EDITORIAL,EDCOM01438,4,0
DISEÑO E IMPLEMENTACIÓN DE APLICACIONES SS7 DE UNA RED CELULAR,FIEC07021,4,0
DISENO ESTRUCT. ACERO I,FIMP02709,3,0
DISENO ESTRUCT. ACERO II,FIMP03087,3,0
DISENO ESTRUCTURAL,FICT03269,2,2
Diseno Experimental,ICHE002196,0,0
DISEÑO EXPERIMENTAL (IAGR),FIMP05108,4,0
DISEÑO GRÁFICO POR COMPUTADORA,FIEC05488,4,0
DISEÑO GRÁFICO Y TOPOGRAFÍA,FIMP08581,0,4
DISEÑO MECÁNICO I,FIMP02113,4,0
DISEÑO MECÁNICO II,FIMP02121,4,0
DISEÑO PARA MANUFACTURA,FIMP07062,3,0
DISEÑOS DE SISTEMAS EÓLICOS,FIMP07179,2,1
DISEÑO SIST. CONTROL CONTAM. AIRE,FIMP07153,3,0
DISENO SISTEMAS(95/2),PRTCO01115,4,2
DISEÑO TRIDIMENSIONAL,EDCOM00158,2,4
DISEÑO WEB,EDCOM00208,2,2
Diseño y Análisis de Algoritmos,FIEC002147,0,0
DISEÑO Y CONTROL DE EMPAQUE,FIMP08722,4,0
DISEÑO Y DESARROLLO DE NUEVOS PRODUCTOS,FIMP07773,4,0
DISEÑO Y OPERACIÓN DE PLANTAS,FIMP06346,4,0
DISENO Y PRESENT.GRAFICAS(TJ),PRTCO01909,0,4
Diseño y Programación de Interfaces de Usuarios,EDCOM000968,0,0
DISPOSITIVOS MÓVILES,EDCOM00265,1,3
DISTRIB. SUBESTACIONES (1998),PRTEL00703,3,2
DISTRIBUCIÓN ELÉCTRICA I,FIEC03269,4,0
DISTRIBUCIÓN ELÉCTRICA II,FIEC03285,4,0
DISTRIB. Y MERCADEO,PRTP01339,4,1
DOCUMENTACION SISTEMAS(TF),PRTCO01818,0,0
DOMÓTICA E INMÓTICA,FIEC06353,4,0
DRENAJE, VENTILACIÓN Y ALUMBRADO,FICT03558,4,0
DRENAJE Y VENTILACION,FICT02816,4,0
ECOEFICIENCIA,FIMP04218,3,0
ECOL.EDUC.AMB.(B),ICHE00885,4,0
ECOLOGIA ACUATICA,FMAR02329,2,1
ECOLOGÍA GENERAL,FMAR02303,3,1
ECOLOGÍA MARINA,FMAR03905,3,1
ECOLOGÍA TURÍSTICA,FMAR03533,4,0
ECOLOGÍA Y EDUCACIÓN AMBIENTAL,ICQ01222,4,0
E-COMMERCE,ICHE04242,3,0
E-COMMERCE,EDCOM00257,4,0
EconomÃ­a de los Recursos Naturales,ICHE002204,0,0
EconomÃ­a Internacional,ICHE002048,0,0
ECONOMETRIA,ICHE01503,4,0
ECONOMETRÍA APLICADA,ICHE03129,3,0
ECONOMETRÍA APLICADA FINANZAS,ICHE03145,4,0
ECONOMETRÍA APLICADA MARKETING,ICHE03152,4,0
ECONOMETRIA I,ICHE01974,4,0
Econometría I,ICHE002071,0,0
ECONOMETRÍA (IAGR 2006),FIMP08300,4,0
ECONOMETRIA II,ICHE02147,4,0
Econometría II,ICHE002121,0,0
ECONOMÍA AGRÍCOLA I,FIMP07666,3,0
ECONOMÍA AGRÍCOLA II,FIMP07674,3,0
ECONOMIA AMBIENTAL,FMAR02618,3,0
ECONOMÍA AMBIENTAL,ICHE04317,4,0
ECONOMÍA DE LA PRODUCCIÓN AGRÍCOLA,FIMP07427,3,0
ECONOMIA DE LA SALUD,ESPAE000729,0,0
ECONOMÍA DEL DESARROLLO RURAL,FIMP08318,3,0
ECONOMÍA DEL TRANSPORTE MARÍTIMO,FMAR04812,3,0
ECONOMÍA DE MERCADOS Y REGULACIÓN,ICHE02295,3,0
ECONOMÍA EMPRESARIAL,PRTCO02816,4,0
ECONOMÍA EMPRESARIAL,FIMP07815,3,0
ECONOMÍA ESTADÍSTICA COMPUTARIZADA,ICHE03822,4,0
ECONOMÍA ESTADÍSTICA I,ICHE02683,4,0
ECONOMÍA ESTADÍSTICA II,ICHE02717,4,0
ECONOMÍA ESTADÍSTICA III,ICHE02949,4,0
ECONOMÍA GLOBAL,ICHE03848,5,0
ECONOMIA INTERNAC.,ICHE01677,3,0
ECONOMÍA MATEMÁTICA I,ICHE03103,4,0
ECONOMÍA MATEMÁTICA II,ICHE03111,3,0
ECONOMIA MONETARIA ABIERTA,ICHE02121,3,0
ECONOMIA PARA ACUICULTURA,ICHE01370,3,0
ECONOMÍA PETROLERA,FICT03715,3,0
ECONOMIA PUBLICA,ICHE02048,3,0
ECONOM. MANEJO PLAGAS Y ENFERM. AGRICULT,ICHE03343,3,0
ECUACIONES DIFERENCIALES (2005),ICM01974,5,0
ECUADORIAN BIODIVERSITY,FMAR04895,4,0
EDAFOLOGÍA,FIMP07971,3,1
EDAFOLOGÍA Y FERTILIDAD (TA),FIMP07260,2,3
EDAFOLOGIA Y MANEJO SUELOS(1991),FIMP00943,2,2
EDICIÓN DE VÍDEO DIGITAL,PRTEL02691,0,3
EDICIÓN Y EFECTOS ESPECIALES,PRTCO02758,0,6
EDICIÓN Y MONTAJE,EDCOM00521,0,6
EDUCACION A DISTANCIA,ICM001040,0,0
EDUCACIÓN MUSICAL,ICHE04218,3,0
EDUCOMUNICACIÓN EN LAS PRÁCTICAS AUDIOVISUALES,EDCOM001230,0,0
EFFECTIVE NEGOTIATIONS,PRTCO03343,4,0
EFICIENCIA ENERGÉTICA APLICADA,FIEC06932,4,0
EFICIENCIA Y PRODUCTIVIDAD,PRTP01438,3,0
EjecuciÃ³n de Tesis,FCV000208,0,0
ELABORACIÓN DE PRESUPUESTOS DE RECURSOS HUMANOS,ICHE000901,0,0
ELABORACIÓN DE PROYECTOS EN COMUNICACIONES,EDCOM00604,4,0
ELECT.APLIC.BUQUES,FMAR02063,5,0
ELECTIVA 1,ESPAE001644,0,0
ELECTIVA 2,ESPAE001651,0,0
ELECTIVA 3,ESPAE001669,0,0
ELECTRICIDAD,FIEC04457,3,1
ELECTRICIDAD,PRTME01669,2,0
ELECTRICIDAD,PRTME01669L,0,2
ELECTRICIDAD BÁSICA(SIST.MOD.TELEC.),PRTEL01081,4,3
ELECTRICIDAD I,PRTEL01677,2,0
ELECTRICIDAD  I,PRTME00505L,0,1
ELECTRICIDAD  I,PRTME00505,2,0
ELECTRICIDAD II,PRTEL01701,0,0
ELECTRICIDAD  II,PRTME00562,2,1
ELECTRICIDAD III,PRTEL01727,2,0
ELECTRICIDAD Y ELECTRÓNICA PARA BUQUES,FMAR04507,3,1
ELECTRÓNICA,FIEC04465L,0,1
ELECTRÓNICA,FIEC04465,3,0
ELECTRONICA (1998),PRTEL00687,3,3
ELECTRÓNICA ANALÓGICA,PRTEL01768,2,0
ELECTRÓNICA BÁSICA (2005),PRTME01164,2,0
ELECTRÓNICA DE POTENCIA,PRTEL01800,0,0
ELECTRÓNICA DE POTENCIA I,FIEC03129,4,0
ELECTRÓNICA DE POTENCIA II,FIEC03152,4,0
ELECTRÓNICA DE TELECOMUNICACIONES,PRTEL01958,3,2
ELECTRÓNICA DIGITAL,PRTEL01776,2,0
ELECTRÓNICA I,FIEC00075,4,0
ELECTRONICA I (1998),PRTEL00539,4,4
ELECTRÓNICA II,FIEC00190,4,0
ELECTRONICA II (1998),PRTEL00570,4,3
ELECTRÓNICA III,FIEC01388,4,0
ELECTRONICA INDUSTRIAL,PRTEL00612,2,3
ELECTRÓNICA MÉDICA,FIEC00885,4,0
ELEMENTOS DE GERENCIA,FIMP04465,4,0
ELEMENTOS DE MÁQUINAS,PRTEL02717L,0,2
ELEMENTOS DE MÁQUINAS,PRTEL02717,2,2
ELEMENTOS FINITOS,FMAR00877,3,0
El Marketing en la empresa turística,FIMCM000836,0,0
E-MARKETING,EDCOM00216,4,0
EMBRIOLOGÍA,FMAR03889,3,1
EMPAQUES PLÁSTICOS,PRTME01735,2,2
EMPRENDIMIENTO E INNOVACIÓN TECNOLÓGICA,ICHE03541,4,0
ENERGIAS ALTERNATIVAS,FIMCM000570,0,0
ENFERMEDADES DE GRAN PREVALENCIA,PRTAL01271,4,0
ENOLOGÍA,FMAR05231,1,2
ENRUTAMIENTO AVANZADO,FIEC06197,2,3
ENSAYOS NO DESTRUCTIVOS,FIMP02394,3,0
Enseñanza de la Comprensión Auditiva y Expresión O,ICHE001412,0,0
Enseñanza de la Comprensión Lectora y Redacción,ICHE001388,0,0
ENTOMOLOGIA APLICADA,FIMP00976,1,3
ENTOMOLOGÍA (ING.AGROP.),FIMP04739,3,1
ENTORNO DEL INGENIERO I,FIMP07724,4,0
ENTORNO DE LOS NEGOCIOS,ESPAE002816,0,0
Entorno JurÃ­dico Empresarial,ICHE001990,0,0
ENVASES Y EMBALAJE(IAL),FIMP05827,3,1
ENVASES Y EMBALAJES (PRTAL),PRTAL01016,3,0
ENVIRONMENTAL AUDITING,FMAR04499,4,0
EnzimologÃ­a,FIMCP002568,0,0
ENZIMOLOGÍA,FMAR04879,6,0
ENZIMOLOGIA DE ALIMENTOS (IA),FIMP05876,3,1
EQUIPOS DE COMUNICACION,PRTEL00240,3,2
ErgonomÃ­a,FIMCP003152,0,0
ERGONOMÍA,FIMP06486,3,0
ESCALADO DE PROCESOS INDUSTRIALES (IN-ALL),FIMP06924,3,0
Escalado de productos y bioprocesos,FCV000109,0,0
ESPECIES VARIAS,FIMP07930,2,2
ESPIRITU EMPRESARIAL,ESPAE001552,0,0
ESPÍRITU EMPRESARIAL,ESPAE002899,0,0
ESTABILIDAD DE BUQUES,PRTP01297,3,2
ESTABILIDAD DE LOS SISTEMAS DE POTENCIA(CP),FIEC00810,4,0
ESTABILIZACIÓN DE SUELOS Y ROCAS,FICT02964,2,2
EstadÃ­stica BÃ¡sica,ICHE002329,0,0
EstadÃ­tica Gerencial,FIMCP003095,0,0
ESTADÍSTICA,ESPAE003822,0,0
ESTADÍSTICA,PRTAL00455,4,0
ESTADISTICA (1998),PRTEL00547,3,0
ESTADÍSTICA APLICADA A LA GESTIÓN I,ICHE03160,4,0
ESTADÍSTICA APLICADA A LA GESTIÓN II,ICHE03178,4,0
ESTADÍSTICA APLICADA A LAS CIENCIAS SOCIALES,ICM02774,4,0
ESTADISTICA APLICADA A LAS FINANZAS,ICHE000711,0,0
ESTADÍSTICA APLICADA (TA),FIMP07351,2,1
ESTADISTICA COMPUTAC.,ICM01313,4,0
ESTADÍSTICA DESCRIPTIVA,ICM00992,4,0
ESTADISTICA EN LOS NEGOCIOS,ESPAE001206,0,0
ESTADÍSTICA GENERAL,PRTP01503,4,0
ESTADÍSTICA I,ICM01511,5,0
ESTADÍSTICA I  (IAPI),ICM01784,4,0
ESTADISTICA II (AUDIT),ICM01552,5,0
ESTADÍSTICA II (IAPI),ICM01792,4,0
ESTADÍSTICA (IIT95),ICM01040,3,0
ESTADÍSTICA INFERENCIAL,ICM00950,4,0
ESTADÍSTICA (ING.) (B),ICM00166,4,0
ESTADÍSTICA MATEMÁTICA II,ICM01164,4,1
ESTADÍSTICA PARA CIENCIA POLÍTICA,ICM02626,4,0
ESTADISTICA PARA LA ADM. DE RECURSOS HUMANOS,ICHE000968,0,0
ESTADÍSTICA PARA PROYECTOS,ESPAE003053,0,0
ESTADÍSTICAS (LAT),ICM02295,4,0
ESTADÍSTICA (TURISMO),ICM01727,4,0
ESTADÍSTICA Y QUIMIOMETRÍA (INQ),ICQ01149,4,0
ESTADIST.MATEMAT.I,ICM01123,5,0
ESTÁNDARES Y BUENAS PRÁCTICAS EN PROYECTOS,ESPAE003160,0,0
ESTÁTICA (B),FIMP01263,4,0
ESTÁTICA/DINÁMICA,FICT03384,4,0
ESTIMACION DE COSTOS,PRTME00646,2,0
ESTIMACIÓN DE COSTOS DE PRODUCCIÓN,FIMP05421,4,0
ESTIMULACIÓN Y REACONDICIONAMIENTO DE POZOS,FICT02113,3,0
ESTIMULAC. Y REACONDIC.POZOS PARA TECNÓLOGOS PETROLEROS,FICT04069,0,0
ESTRAG.NEGOC.SIMULAC. (IC),ICHE02402,3,0
ESTRATEGIA,ICHE001198,0,0
ESTRATEGIA COMPETITIVA,FIMP05462,3,0
ESTRATEGIA DE MERCADO,PRTCO02550,4,0
ESTRATEGIA DISEÑO GRÁFICO Y COM. AUDIOVISUAL,ICHE04580,4,0
ESTRATEGIAS CREATIVAS PUBLICITARIAS,EDCOM01446,4,0
Estrategias de precio en el sector turísticas,FIMCM000869,0,0
ESTRATEGIAS MEJORAM.CALIDAD (ELECTV.PROF,ICM01818,4,0
ESTRATIGRAFÍA Y GEOLOGÍA EST. APLIC. A LA INVEST. PETROLERA Y RIESGO GEOLÓGICO,FICT04309,4,0
ESTRATIGRAFÍA Y SEDIMENTACIÓN,FICT00612,4,0
ESTRUCTURA DE DATOS 95/2,PRTCO00935,4,0
Estructura de los Materiales,FIMCP002758,0,0
ESTRUCTURAS DE DATOS,FIEC03012,4,1
ESTRUCTURAS I,FICT02592,2,2
ESTRUCTURAS II,FICT02550,2,2
ESTRUCTURAS INDUSTRIALES,FIMP02311,3,0
ESTRUCTURAS METALICAS,FICT03343,2,2
ESTRUCTURAS NAVALES I,FMAR00554,4,0
ESTRUCTURAS NAVALES II,FMAR00604,4,0
ESTUDIO DE MERCADO Y DEMANDAS  SOCIALES,ESPAE003137,0,0
ESTUDIO DE MERCADO Y DEMANDAS  SOCIALES,ESPAE004515,0,0
ESTUDIOS DE MERCADO,FIEC05900,3,0
ETICA COMPORTAM.ORGANIZ.,ICHE01065,3,0
ETICA PROFESIONAL,FMAR03608,3,0
ETICA PROFESIONAL,EDCOM00414,4,0
ETICA Y FUNDAM. DE AUDITORÍA,ICM01453,4,0
ÉTICA Y LIDERAZGO,FMAR04416,3,0
ETICA Y RESPONSABILIDAD SOCIAL,ESPAE003046,0,0
ETICA Y SERVICIO AL CLIENTE,PRTME01073,3,0
ETICA Y VALORES,ESPAE002212,0,0
ETNOGRAFÍA Y FOLKLOR,FMAR03541,3,1
EVALUAC. IMPACTO AMBIENTAL,FMAR03137,3,0
EVALUACION DE FORMACIONES,FICT01529,3,0
EVALUACION DE IMPACTO AMBIENTAL,FIMCM000703,0,0
EVALUACIÓN DE IMPACTO AMBIENTAL,ICQ000174,0,0
EVALUACIÓN DE IMPACTOS AMBIENTALES EN PROYECTOS,FMAR05256,4,1
EVALUACION DE INVERSIONES,ICHE001032,0,0
Evaluación de la Lengua Inglesa,ICHE001438,0,0
EVALUACIÓN DEL ALGORITMO DE CONTROL EN SISTEMAS DE ENERGÍA RENOVABLES,FIEC06957,4,0
EVALUACIÓN DEL ESTADO NUTRICIONAL,PRTAL01180,5,0
EVALUACIÓN DE POLÍTICAS PÚBLICAS,ICHE001628,0,0
EVALUACION DE PROYECTOS PRIVADOS,ICHE001222,0,0
Evaluaciones toxicológicas, ecotoxicológicas y de inocuidad,FCV000091,0,0
Evaluación Sensorial,FIMCP002519,0,0
EVALUACIÓN SENSORIAL DE ALIMENTOS,FIMP07526,3,0
EVALUACIÓN Y MITIGACIÓN DE IMPACTO AMBIENTAL,FICT03905,4,0
EVALUAC.YACIMIENTOS MINERALES,FICT00984,4,0
EVLC.CONTROL CALID.ALIM.(IAL),FIMP05819,3,0
EVLC.HARDWARE Y SOFTWARE(TN),PRTCO02071,4,0
EXPRESIÓN CORPORAL,PRTCO02675,0,3
EXPRESIÓN GRÁFICA (B),ICM00786,2,3
EXTENSION ACUICOLA,FMAR01966,2,1
EXTENSIÓN AGROPECUARIA,FIMP07120,2,1
EXTENSIONÍSMO,FMAR04010,3,0
EXTRUSIÓN DE TERMOPLÁSTICOS I,PRTME01685L,0,2
EXTRUSIÓN DE TERMOPLÁSTICOS I,PRTME01685,2,0
FACILIDADES SUPERF. I,FICT03053,4,0
FACILIDADES SUPERFICIES II,FICT03087,4,0
FACILIDADES SUPERF.III,FICT03095,4,0
FACILITACIÃN DE PROCESOS,ESPAE004507,0,0
FACILITACIÓN DE PROCESOS,ESPAE003111,0,0
FARMACOLOGÍA Y NUTRICIÓN,PRTAL01313,4,0
FINANCIAL ANALYSIS I,ICHE03962,4,0
FINANCIAL ANALYSIS II,ICHE03749,4,0
Finanzas,ICHE002022,0,0
FINANZAS,FICT000349,0,0
FINANZAS,PRTCO02808,4,0
FINANZAS1,ESPAE001727,0,0
FINANZAS 1,ESPAE002873,0,0
FINANZAS2,ESPAE001602,0,0
FINANZAS 2,ESPAE002923,0,0
Finanzas Aplicadas,ICHE002287,0,0
FINANZAS APLICADAS,ICHE03889,4,0
Finanzas Básicas para la Educación,ICHE001529,0,0
FINANZAS CORPORATIVAS,ICHE001792,0,0
FINANZAS CORPORATIVAS,ICHE02055,4,0
FINANZAS GERENCIALES,FIMP04416,4,0
FINANZAS I,ICHE01982,4,0
FINANZAS II,ICHE02006,4,0
FINANZAS III,ICHE04820,4,0
FINANZAS II(IIT95),ICHE02451,4,0
FINANZAS I(IIT95),ICHE02444,4,0
FINANZAS INTERNACIONALES,ICHE01123,3,0
FINANZAS PARA PROYECTOS,EDCOM01206,4,0
FINANZAS PUBLICAS,ICHE01883,3,0
FINANZ.INTERNAC.,ICHE01602,0,0
FIS.EXPERIMENTAL I,ICF00471,0,3
FIS.EXPERIMENTAL II,ICF00505,0,3
FISICA,PRTAL00901,5,0
FISICA,PRTEL00455,4,2
FÍSICA 0B,ICF00661,5,0
FÍSICA (2005),ICF00729,4,0
FÍSICA A,ICF00687,4,0
FÍSICA A,ICF01099,4,0
FISICA APLICADA,FIMP00877,2,2
FISICA APLICADA,PRTAL00927,5,0
FÍSICA APLICADA,ICF00794,4,2
Fisica Avanzada de Materiales,FIMCP002766,0,0
FÍSICA B,ICF01115,4,0
FÍSICA B,ICF00695,4,0
FÍSICA B (USANDO MÉTODO PPL),FCNM00067,4,2
FÍSICA C,ICF01131,4,0
FÍSICA C,ICF00703,4,0
FÍSICA CONCEPTUAL,ICF00737,4,0
FÍSICA C (USANDO MÉTODO PPL),ICF01172,4,2
FÍSICA D,ICF00711,4,0
FÍSICA D,ICF01156,4,0
FÍSICA GENERAL I,ICF00562,4,0
FÍSICA GENERAL II,ICF00570,4,0
FÍSICA I,FISG1001,3,2
FISICA I(B),ICF00463,5,0
FISICA II,ICF00489,5,0
FISICA III,ICF00497,5,2
