nombre_materia,codigo_materia,creditos_teoricos,creditos_practicos
ANALISIS DE ALGORITMO,FIEC05066,4,0
ANÁLISIS DE ALGORÍTMOS,FIEC04366,4,0
ANÁLISIS DE ALGORÍTMOS Y ESTRUCTURA DE DATOS,ICM01149,4,0
ANÁLISIS DE ALIMENTOS I,PRTAL00638L,0,3
ANÁLISIS DE ALIMENTOS I,PRTAL00638,2,0
ANÁLISIS DE ALIMENTOS (IAL),FIMP04903,2,0
ANÁLISIS DE ALIMENTOS (IAL),FIMP04903L,0,2
ANÁLISIS DE ALIMENTOS II,PRTAL00695,2,0
ANÁLISIS DE ALIMENTOS II,PRTAL00695L,0,3
AnÃ¡lisis de Datos Masivos,FIEC002253,0,0
ANÁLISIS DE ELEMENTOS FINITOS,FIMP04176,3,0
ANALISIS DE FALLAS,FIMP04275,3,0
ANÁLISIS DE IMPACTO AMBIENTAL DE LOS PROYECTOS,ESPAE003152,0,0
ANÁLISIS DE INFORMACIÓN,FIMCM000653,0,0
ANÃLISIS DE LA ORGANIZACIÃN,ESPAE004440,0,0
ANÁLISIS DE LA ORGANIZACIÓN,ESPAE003145,0,0
ANALISIS DE MERCADO,ICHE001172,0,0
ANÁLISIS DE MERCADOS ELÉCTRICOS COMPETITIVOS,FIEC05959,4,0
ANÁLISIS DE NEGOCIOS,ICHE04986,4,0
ANÁLISIS DE PROCESOS,PRTCO02790,4,0
ANÁLISIS DE REDES ELÉCTRICAS I,FIEC01735,5,0
ANÁLISIS DE REDES ELÉCTRICAS II,FIEC01784,5,0
ANÁLISIS DE REQUERIMIENTO DE USUARIO,EDCOM01180,4,0
ANÁLISIS DE RIESGOS,FIMP07542,3,0
AnÃ¡lisis de Series de tiempo,ICHE002162,0,0
ANALISIS ECONOMICO,ICHE000844,0,0
ANÁLISIS ECONÓMICO,FMAR03582,4,0
ANÁLISIS ECONÓMICO APLICADO,ICHE04978,4,0
ANÁLISIS E INVESTIGAC. DE MERCADOS INTER,ICHE02311,3,0
ANÁLISIS E INVESTIGACIÓN DE MERCADOS,ICHE02758,4,0
ANÁLISIS EXPLORATORIO DE DATOS,CCPG1002,3,0
ANALISIS FINANCIERO,ICHE02501,4,0
ANÁLISIS GENÉTICO,FMAR04606,3,0
ANÁLISIS INSTRUMENTAL DE ALIMENTOS,FIMP07823,2,2
ANÁLISIS INSTRUMENTAL (INQ 2005),ICQ00661,4,2
ANÁLISIS MACROECONÓMICO DEL TURISMO,FMAR04192,4,0
Análisis Matemático,FIMCP002311,0,0
ANALISIS NUMERICO,ICM000745,0,0
ANÁLISIS NUMÉRICO (F),ICM00158,4,0
ANÁLISIS ORIENTADA A OBJETOS (ICM 2005),ICM02386,4,0
ANALISIS SISTEMAS 95/2,PRTCO00927,3,3
ANÁLISIS SIST. MANUFACT,FIMP06791,3,0
ANÃLISIS TÃCNICO EN LOS PROYECTOS,ESPAE004523,0,0
ANÁLISIS TÉCNICO EN LOS PROYECTOS,ESPAE003129,0,0
ANÁLISIS Y EVALUACIÓN SOCIOECONÓMICA,ESPAE003202,0,0
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,ESPOL00141,3,0
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I,INDG1001,3,0
ANALIS.VARIAB.REAL,ICM01214,4,0
Analítica Web,EDCOM001123,0,0
ANATOMIA Y FISIOLOGIA,FIMP00968,2,2
ANIMACIÓN WEB,EDCOM00224,1,3
ANIMACIÓN Y RECREACIÓN,FMAR03640,3,0
ANIMATION AND RECREATION,FMAR04911,4,0
ANLS.DEL COSTO DE OBRAS,FICT03335,2,2
ANLS.DISEN.ORIENT.OBJ.,PRTCO01263,2,2
ANLS.INFORM.OCEANOGRAF.,FMAR02600,4,0
ANLS.MULTIVARIADO Y DISENO EXPERIMENTO,ICM01289,4,0
ANLS.SERIES TIEMPO,ICM01347,4,0
ANLS.SISTEMAS (INR),FMAR03251,4,0
ANLS.SISTEMAS(TF),PRTCO01735,0,0
ANLS.SISTEMAS(TN),PRTCO02048,10,0
ANLS. Y DISENO ORIENTAD.OBJETOS,FIEC04333,4,0
ANTENAS (CE),FIEC00380,4,0
ANTENAS Y PROPAGACION,FIEC00463,4,0
ANTROPOLOGÍA CULTURAL,EDCOM00398,4,0
APLICAC.INTERNET Y  TELECOM.NEGOCIOS,ICHE02816,3,0
APLICACIONES DE LAS BASES DE DATOS EN LA INGENIERÍA,FIEC06346,4,0
APLICACIONES DEL MICROCONTROLADOR,PRTEL01925,2,0
APLICACIONES DE SOPORTE,PRTCO03129,0,4
APLICACIONES DISTRIBUIDAS,PRTCO03186,2,2
APLICACIONES MULTIMEDIA INTERACTIVAS,EDCOM01297,1,3
APLICACIONES MULTIMEDIA INTERACTIVAS,FIEC05462,4,0
APPLIED MANAGEMENT,ICHE03996,4,0
APRECIACIÓN CINEMATOGRÁFICA,PRTCO02527,4,0
APRECIACIÓN MUSICAL,EDCOM01537,2,0
APS: ADVANCED PLANNING AND SCHEDULING,ICM02733,4,0
ARQ.NAVAL III(INR),FMAR03194,4,0
ARQUITECT.NAVAL II (INR),FMAR03186,4,2
ARQUITECTURA NAVAL I (INR),FMAR03178,4,2
ARTE DE PESCA I (1997),PRTP01321,3,3
ARTE PESCA II (1997),PRTP01420,3,3
ARTE Y DIAGRAMAC.II (SIST.MOD.DIS.GRÁF.),PRTCO02287,0,0
ARTE Y DIAGRAMACIÓN,PRTCO02915,4,0
ARTE Y DIAGRAMAC. I(SIST.MOD.DIS.GRÁF.),PRTCO02253,0,0
ASEGURAMIENTO METROLÓGICO,FIMP08482,3,0
ASPECTOS SOBRE PERFORACIÓN Y COMPLETACIÓN DE POZOS,FICT04036,4,0
ATENCIÓN AL CLIENTE,PRTCO03095,3,0
AtracciÃ³n, SelecciÃ³n e IncorporaciÃ³n de Recursos Humanos,ICHE002295,0,0
AUDIO ANALÓGICO Y DIGITAL,PRTEL01917,2,2
AUDITOR DEL SISTEMA DE AUDITORIAS DE RIESGOS DEL TRABAJO - SART1,FIMCP002246,0,0
AUDITORÍA ADMINISTRATIVA,ICM01537,4,0
AUDITORIA AMBIENTAL,FMAR03145,4,0
AUDITORÍA AMBIENTAL,ICM01644,4,0
AUDITORÍA APLICAC.INFORMÁT.,ICM01990,4,0
AUDITORÍA CENTROS DE CÓMPUTO,ICM02006,4,0
AUDITORÍA DE LA CALIDAD (IAPI),FIMP06643,3,0
AUDITORÍA  DE SISTEMAS Y SEGURIDAD INF.,FIEC06114,4,0
AUDITORÍA FINANCIERA (AUDIT.),ICM01610,4,0
AUDITORÍA FINANCIERA EMPRESARIAL,ICHE04861,3,0
AUDITORÍA FINANCIERA II,ICM02907,4,0
AUDITORÍA GUBERNAMENTAL (AUDIT.),ICM01677,4,0
AUDITORÍA INFORMÁTICA,FIEC06064,4,0
AUDITORÍA OPERACIONAL,ICM01545,4,0
AUDITORIAS AMBIENTALES,ICQ000182,0,0
AUDITORIA SISTEMAS(IIT95),FIEC04853,4,0
AUDITORÍA SIST. GESTIÓN,ICM02014,4,0
AUDITORÍA TRIBUTARIA,ICM02022,4,0
AUDITORÍA Y CONTABILIDAD FORENSE,ICM01842,4,0
AUDIT. SIST. INFORMATICO I,ICM01560,4,0
AUDIT. SIST. INFORMÁT. II (AUDIT.),ICM01602,4,0
AUTOCAD,FICT04218,0,4
AUTÓMATAS PROGRAMABLES,PRTEL02543,3,0
AUTOMATIZACIÓN AVANZADA,PRTEL02907,3,0
AUTOMATIZACION INDUSTRIAL,FIEC04267,4,0
AUTOMATIZACIÓN INDUSTRIAL I,FIEC06320,4,2
AUTOMATIZACIÓN INDUSTRIAL II,FIEC06338,4,2
AUTOMATIZACION NEUMATICA,FIMP02766,0,3
AUTORÍA I (DISEÑO MULTIMEDIA),EDCOM00190,1,3
AUTORÍA II (PROGRAMACIÓN MULTIMEDIA),EDCOM00232,1,3
BALANCE DE MATERIA Y ENERGÍA (IAL),FIMP05058,4,0
BALANCE DE MATERIA Y ENERGÍA (INQ 2005),ICQ00786,5,0
BANCA E INSTITUCIONES FINANCIERAS,ICHE02899,3,0
BASE DE DATOS (1998-3),PRTCO01271,4,2
BASE DE DATOS I (ICM 2005),ICM02501,4,0
BASE DE DATOS PARA AUDITORES (2005),ICM02410,4,0
BASES COMUNICACION(TR),PRTCO01487,0,0
BASES DE DATOS AVANZADAS (ELECTV.PROF.),ICM01800,4,0
BASES DE DATOS I,FIEC05835,4,0
BASES DE DATOS II,FIEC06122,4,0
Bases teóricas de la biotecnología Agrícola y Bioseguridad,FIMCP002600,0,0
BENCHMARKING,ICHE04184,3,0
BIODIVERSIDAD Y CAMBIO CLIMATICO,FIMCM000661,0,0
BIOECONOMÍA,FMAR03913,2,1
BIOESTADISTICA,ESPAE001750,0,0
Bioestadística,FIMCP002626,0,0
BIOESTADÍSTICA,FMAR01701,4,0
BIOESTADÍSTICA APLICADA A LA NUTRICIÓN,PRTAL01321,4,0
BIOESTADÍSTICA II,FMAR03806,2,2
